"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"59","Cocktail","cognac","Straight up; without ice",NA,"Cocktail glass","3 cl triple sec","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","triple sec"
"60","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","3 cl triple sec","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","triple sec"
"61","Cocktail","triple sec","Straight up; without ice",NA,"Cocktail glass","3 cl triple sec","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","triple sec"
"62","Cocktail","cognac","Straight up; without ice",NA,"Cocktail glass","2 cl fresh lemon juice","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","lemon juice"
"63","Cocktail","rum","Straight up; without ice",NA,"Cocktail glass","2 cl fresh lemon juice","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","lemon juice"
"64","Cocktail","triple sec","Straight up; without ice",NA,"Cocktail glass","2 cl fresh lemon juice","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","All Day",NA,"Between the Sheets","lemon juice"
"65","Mixed drink",NA,"On the rocks; poured over ice","orange zest","Rocks glass",NA,"Fill a rocks glass with ice cubes and then add the Irish whiskey and then Irish Mist. Stir gently.",NA,"2.5 cl Irish Whisky","Black Nail","whiskey"
"66","Mixed drink",NA,"On the rocks; poured over ice","orange zest","Rocks glass",NA,"Fill a rocks glass with ice cubes and then add the Irish whiskey and then Irish Mist. Stir gently.",NA,"2.5 cl Irish Mist","Black Nail","irish mist"
"67","Cocktail","vodka","On the rocks; poured over ice",NA,"Old Fashioned glass","5 cl Vodka","Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.","After dinner",NA,"Black Russian","vodka"
"68","Cocktail","vodka","On the rocks; poured over ice",NA,"Old Fashioned glass","2 cl Coffee liqueur","Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.","After dinner",NA,"Black Russian","coffee liqueur"
"69","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","4.5 cl (3 parts) Vodka","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","vodka"
"70","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","9 cl (6 parts) Tomato juice","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","tomato juice"
"71","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","1.5 cl (1 part) Lemon juice","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","lemon juice"
"72","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","2 to 3 dashes of Worcestershire Sauce","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","worcestershire sauce"
"73","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","Tabasco","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","tabasco"
"74","Mixed drink","vodka","On the rocks; poured over ice","Celery stalk and lemon wedge (optional)","Highball glass","Celery salt","Stirring gently, pour all ingredients into highball glass. Garnish.",NA,NA,"Bloody Mary","celery"
